failed_logins,packet_rate,session_time,label
0,289,279.27,0
3,411,258.9,0
8,1019,515.2,1
1,173,203.6,0
8,1671,8.89,1
0,113,93.67,0
4,1663,552.44,1
5,1331,490.99,1
2,142,194.84,0
0,459,103.95,0
2,117,35.33,0
2,151,210.52,0
1,312,232.33,0
4,1608,588.8,1
3,137,181.12,0
1,418,197.76,0
3,242,279.24,0
1,399,134.88,0
1,550,196.31,0
7,1087,2.93,1
8,1903,4.25,1
2,382,77.28,0
2,214,252.7,0
0,162,153.25,0
2,260,240.04,0
3,330,203.06,0
10,1322,1.1,1
11,1406,573.59,1
10,1342,5.09,1
0,358,110.09,0
11,1470,562.47,1
0,367,126.31,0
0,130,152.39,0
1,293,157.98,0
0,377,188.73,0
0,418,259.24,0
14,1525,486.65,1
8,1106,419.54,1
1,523,211.59,0
1,283,98.81,0
0,168,227.69,0
0,222,133.37,0
14,1831,1.35,1
1,325,260.04,0
1,179,121.47,0
0,172,267.1,0
13,1654,421.19,1
3,519,36.1,0
12,1197,503.66,1
0,517,299.0,0
8,888,8.06,1
14,817,1.01,1
0,445,134.03,0
2,422,274.69,0
2,465,102.7,0
8,1368,7.16,1
3,143,182.53,0
2,340,90.55,0
8,984,423.43,1
3,461,287.42,0
0,237,280.92,0
3,488,287.89,0
0,358,277.7,0
0,561,52.3,0
0,109,167.38,0
0,279,70.88,0
0,219,219.93,0
3,531,111.58,0
3,214,175.28,0
9,1460,7.29,1
0,588,240.64,0
0,318,217.3,0
14,1122,6.51,1
3,139,222.12,0
2,406,179.31,0
2,350,94.6,0
0,582,211.87,0
6,925,6.47,1
7,1250,1.68,1
3,448,123.15,0
14,1274,6.28,1
1,291,222.2,0
13,1863,481.07,1
1,361,243.74,0
9,1770,565.16,1
1,255,82.7,0
1,137,70.11,0
0,125,58.53,0
7,1477,559.95,1
1,125,155.01,0
2,367,222.35,0
3,411,202.02,0
4,1990,8.3,1
13,1025,2.81,1
9,1989,419.34,1
2,398,253.31,0
2,247,158.39,0
0,293,164.95,0
0,138,52.18,0
2,453,58.33,0
1,129,156.55,0
0,580,273.01,0
3,181,169.06,0
1,306,78.69,0
14,930,564.2,1
5,1285,4.15,1
10,1341,9.92,1
1,451,199.0,0
6,1571,479.53,1
2,411,189.89,0
13,1296,436.23,1
3,247,287.78,0
14,1705,2.85,1
0,440,109.23,0
1,220,198.04,0
1,452,56.47,0
1,230,36.65,0
0,141,178.8,0
13,989,480.76,1
1,167,105.69,0
0,511,204.4,0
1,386,124.67,0
9,1840,2.63,1
0,344,246.83,0
1,437,110.32,0
2,206,241.14,0
2,244,104.0,0
0,170,258.39,0
5,1482,4.6,1
1,381,246.05,0
0,368,172.55,0
1,536,118.0,0
11,1836,519.29,1
0,514,243.04,0
1,314,131.28,0
11,1349,7.3,1
3,208,88.61,0
1,507,267.35,0
2,524,73.66,0
3,377,49.05,0
14,1280,4.08,1
10,846,7.92,1
7,1103,1.6,1
1,325,119.16,0
8,1191,8.47,1
1,288,231.54,0
7,1768,510.37,1
3,560,284.75,0
6,1865,1.32,1
12,1584,2.24,1
1,501,90.95,0
10,990,458.72,1
1,265,149.89,0
1,349,77.66,0
2,414,86.68,0
11,1079,3.18,1
2,276,183.97,0
2,204,291.92,0
0,238,170.96,0
0,252,275.38,0
0,218,114.78,0
11,1464,424.09,1
0,282,33.97,0
1,532,220.73,0
15,1281,2.97,1
0,241,263.79,0
9,1770,4.55,1
12,957,5.99,1
9,1851,3.18,1
4,1790,9.39,1
1,574,97.58,0
2,217,69.71,0
0,446,164.59,0
4,1298,9.03,1
1,585,298.27,0
2,574,258.18,0
6,1836,472.36,1
5,814,1.91,1
5,1810,5.9,1
7,872,1.26,1
1,472,77.49,0
0,246,93.26,0
11,1645,9.19,1
0,227,110.77,0
8,1960,581.78,1
13,1471,445.67,1
0,150,296.18,0
3,184,130.35,0
1,377,103.96,0
3,583,288.48,0
9,1861,9.92,1
13,1712,9.17,1
12,1286,2.91,1
1,138,248.99,0
8,913,5.97,1
6,858,514.46,1
9,1609,572.26,1
0,549,249.56,0
2,275,231.26,0
3,299,160.57,0
0,250,129.67,0
3,279,271.48,0
0,356,161.37,0
1,573,55.34,0
0,307,269.07,0
0,372,144.8,0
6,1065,3.12,1
3,541,181.1,0
9,1245,8.1,1
2,588,154.7,0
2,581,61.35,0
15,1733,493.38,1
2,468,140.22,0
9,1426,3.86,1
5,1818,475.8,1
1,115,283.9,0
2,150,102.31,0
1,140,182.23,0
12,1913,4.5,1
11,1705,3.01,1
0,459,244.27,0
1,419,225.38,0
8,1363,491.91,1
8,1166,3.25,1
2,162,116.44,0
2,520,163.43,0
3,151,223.35,0
0,523,247.53,0
1,384,249.03,0
2,532,124.93,0
0,461,52.15,0
0,167,92.99,0
9,1431,581.88,1
3,556,108.67,0
1,566,35.48,0
3,286,110.33,0
0,482,292.12,0
0,431,275.2,0
3,353,202.71,0
2,426,214.58,0
2,288,139.93,0
1,155,49.06,0
0,209,264.09,0
0,415,237.79,0
12,936,511.97,1
11,899,6.89,1
9,1728,1.61,1
2,397,48.68,0
1,295,225.72,0
2,449,214.04,0
3,575,262.91,0
0,178,125.38,0
1,538,112.09,0
10,1382,441.16,1
2,509,159.71,0
0,508,81.15,0
2,148,81.3,0
0,261,63.29,0
7,1733,1.31,1
7,799,543.69,1
1,547,87.49,0
2,188,104.99,0
0,181,96.38,0
0,523,268.14,0
10,885,2.2,1
2,202,277.98,0
8,1471,9.68,1
3,502,284.61,0
0,265,276.2,0
13,1670,420.51,1
0,152,177.72,0
0,190,243.04,0
3,546,63.39,0
12,963,5.64,1
1,243,78.16,0
3,433,163.01,0
1,466,181.55,0
1,369,175.14,0
0,381,274.15,0
0,104,115.96,0
2,363,155.64,0
11,1050,410.48,1
0,310,106.99,0
2,578,295.93,0
3,337,215.91,0
0,579,113.99,0
10,1725,400.27,1
1,463,194.62,0
2,405,168.57,0
0,351,173.82,0
0,225,208.75,0
2,274,156.8,0
0,362,236.81,0
2,564,232.78,0
1,202,198.39,0
2,156,140.49,0
12,1868,472.94,1
13,1525,487.24,1
5,859,582.5,1
0,566,95.75,0
1,337,45.98,0
6,1855,572.04,1
9,867,9.42,1
0,574,112.04,0
1,446,58.76,0
3,395,57.21,0
14,1215,5.93,1
2,306,133.73,0
2,241,111.29,0
11,1417,455.76,1
12,1298,559.76,1
0,241,109.06,0
7,1134,2.73,1
2,310,41.35,0
0,569,57.16,0
0,303,197.81,0
2,296,57.88,0
0,546,105.25,0
9,1187,4.25,1
1,221,163.61,0
0,412,135.03,0
0,601,37.78,0
0,126,269.24,0
8,862,426.81,1
0,336,227.43,0
1,419,259.58,0
1,568,125.6,0
1,541,57.17,0
0,576,126.84,0
3,126,167.57,0
8,830,419.0,1
1,416,195.07,0
3,325,71.77,0
0,477,253.71,0
11,1030,592.73,1
14,1312,430.2,1
12,821,500.98,1
10,854,410.56,1
9,1393,1.3,1
0,180,296.78,0
1,339,281.8,0
2,413,217.34,0
8,850,3.31,1
11,796,3.41,1
2,219,232.74,0
9,906,3.26,1
13,1602,8.66,1
9,1259,517.33,1
3,125,56.33,0
0,477,88.53,0
0,474,53.16,0
3,571,147.46,0
2,238,142.23,0
0,489,112.41,0
2,436,151.28,0
6,1003,587.03,1
0,214,228.25,0
3,228,151.69,0
1,254,162.45,0
1,587,97.16,0
7,1869,489.18,1
3,272,257.6,0
0,538,105.08,0
0,394,120.78,0
0,154,196.6,0
2,412,200.38,0
0,348,38.21,0
2,218,229.57,0
0,367,68.52,0
1,353,139.85,0
0,587,279.83,0
1,212,231.89,0
6,812,3.16,1
4,1642,1.51,1
3,165,254.63,0
0,553,260.23,0
0,507,200.79,0
10,1190,443.93,1
3,312,55.52,0
2,391,184.32,0
0,139,41.29,0
0,311,109.22,0
1,475,64.26,0
1,127,210.16,0
2,123,122.66,0
0,115,96.12,0
11,2002,495.8,1
0,474,126.34,0
0,418,284.48,0
1,371,74.47,0
0,158,122.63,0
12,866,588.21,1
1,281,239.37,0
0,253,268.11,0
2,407,292.55,0
0,285,165.46,0
0,131,191.66,0
3,493,279.46,0
15,1004,502.82,1
7,1793,547.78,1
0,501,104.6,0
0,189,275.96,0
2,228,261.05,0
15,1363,576.87,1
4,1968,4.19,1
0,187,280.16,0
14,894,9.1,1
15,1405,411.39,1
1,482,221.5,0
1,481,114.49,0
2,236,200.57,0
1,466,158.55,0
2,147,150.97,0
1,258,177.42,0
12,1512,506.41,1
1,433,83.42,0
10,1583,9.23,1
11,951,4.89,1
1,386,118.51,0
1,318,259.78,0
3,559,102.02,0
3,400,90.43,0
0,265,86.28,0
1,543,128.5,0
15,879,9.75,1
0,419,62.76,0
14,1940,4.47,1
0,509,197.1,0
10,1000,3.26,1
5,1519,464.22,1
2,240,267.8,0
2,532,237.67,0
6,1652,461.46,1
1,206,243.59,0
2,364,278.96,0
0,320,286.64,0
1,350,198.29,0
10,1386,4.83,1
13,1476,495.23,1
1,545,85.8,0
9,1489,4.64,1
0,245,173.34,0
1,528,127.34,0
2,193,119.61,0
2,572,285.61,0
1,148,275.99,0
11,1954,500.53,1
1,352,265.58,0
15,1849,593.32,1
2,377,39.06,0
0,311,120.22,0
3,582,215.08,0
0,504,80.75,0
0,304,175.08,0
0,518,30.86,0
0,391,78.36,0
5,806,8.86,1
0,189,145.23,0
1,240,109.34,0
0,296,249.61,0
1,109,83.0,0
13,839,5.24,1
0,565,164.72,0
1,411,45.48,0
12,1428,5.4,1
1,182,185.54,0
0,351,151.51,0
0,594,108.88,0
5,1783,475.76,1
2,182,179.75,0
12,1373,439.56,1
2,199,30.97,0
5,1480,595.43,1
0,192,171.35,0
0,314,88.93,0
7,1405,573.2,1
1,396,81.03,0
14,1384,546.24,1
1,296,145.08,0
3,242,198.03,0
15,1578,594.99,1
2,446,194.65,0
2,166,210.4,0
1,113,129.39,0
7,1908,2.22,1
0,311,62.07,0
3,124,289.18,0
6,1683,468.82,1
13,1676,5.57,1
0,319,238.47,0
2,123,117.12,0
14,1440,1.38,1
1,304,118.05,0
1,258,290.45,0
13,993,9.55,1
5,1361,522.82,1
4,1638,6.3,1
2,449,126.5,0
2,518,278.94,0
11,1285,551.39,1
2,189,194.83,0
11,1008,459.56,1
1,437,256.36,0
0,330,106.59,0
2,414,117.9,0
4,1642,7.19,1
0,307,41.03,0
6,845,419.32,1
2,327,244.19,0
0,239,264.03,0
1,557,266.52,0
1,312,207.48,0
0,429,166.55,0
0,542,32.82,0
6,1291,483.41,1
1,346,57.69,0
9,1336,5.85,1
10,869,6.45,1
0,294,148.25,0
6,1674,576.16,1
12,1279,498.62,1
3,502,117.48,0
9,1981,496.19,1
0,377,107.51,0
2,428,65.12,0
4,971,9.46,1
5,1190,6.43,1
0,595,73.51,0
13,965,9.06,1
12,1975,2.93,1
2,351,67.53,0
4,1062,573.85,1
2,193,297.24,0
0,197,71.82,0
1,153,48.52,0
1,437,168.69,0
0,112,231.83,0
7,1400,414.73,1
9,986,3.6,1
0,595,148.12,0
12,1474,470.73,1
0,422,257.84,0
2,249,248.63,0
2,583,38.89,0
7,1174,491.11,1
3,306,219.3,0
6,1290,576.87,1
0,336,57.77,0
14,1037,457.51,1
1,331,263.35,0
9,862,8.85,1
0,344,208.59,0
8,1662,494.33,1
0,230,189.95,0
12,1247,2.69,1
0,279,89.68,0
13,1347,5.22,1
0,166,160.31,0
1,387,156.42,0
13,910,436.23,1
2,400,201.13,0
0,539,203.61,0
0,187,191.24,0
3,426,246.48,0
10,1730,3.34,1
6,1618,505.97,1
0,511,154.78,0
12,1937,1.85,1
0,437,133.2,0
2,395,56.05,0
6,1862,3.95,1
0,382,115.62,0
15,897,4.91,1
8,884,455.97,1
0,592,104.77,0
0,264,103.66,0
2,169,281.58,0
1,209,214.44,0
0,557,212.72,0
1,329,291.37,0
1,317,132.19,0
1,173,154.46,0
12,1639,5.63,1
14,1563,575.93,1
2,396,155.26,0
0,188,124.25,0
14,1700,576.1,1
2,349,87.15,0
14,857,550.43,1
9,1765,4.73,1
2,481,184.9,0
1,198,111.53,0
9,1779,9.67,1
3,144,74.03,0
7,1035,541.03,1
0,328,212.82,0
3,551,265.83,0
2,317,187.85,0
0,315,150.04,0
0,118,151.91,0
2,189,97.83,0
1,134,177.78,0
1,127,88.84,0
8,1471,543.87,1
2,257,207.89,0
3,400,261.4,0
6,1939,2.86,1
2,139,137.06,0
0,580,119.98,0
1,120,278.35,0
8,1594,583.91,1
1,458,71.74,0
0,549,275.65,0
0,406,214.65,0
1,585,87.55,0
14,1012,471.08,1
15,1686,7.19,1
1,143,103.36,0
1,532,242.96,0
0,405,47.19,0
1,425,144.95,0
0,153,141.66,0
12,1716,416.97,1
13,982,484.1,1
1,320,190.22,0
2,549,153.94,0
14,990,4.8,1
1,238,73.82,0
7,1905,1.07,1
11,883,8.6,1
1,514,74.64,0
1,248,145.05,0
2,467,141.46,0
1,510,84.91,0
11,1272,529.36,1
1,351,200.65,0
0,349,264.3,0
2,254,68.72,0
2,518,139.79,0
1,368,114.38,0
2,438,49.8,0
11,1752,6.29,1
13,1864,464.36,1
1,171,42.36,0
0,415,60.6,0
0,529,238.64,0
5,1664,2.42,1
3,479,193.34,0
15,1836,446.3,1
2,107,142.83,0
5,955,9.63,1
0,572,294.95,0
1,281,50.32,0
2,343,32.8,0
12,1169,536.37,1
11,1200,472.94,1
2,351,221.15,0
0,374,77.05,0
1,257,178.13,0
12,968,2.8,1
4,1384,9.56,1
2,370,209.87,0
8,1714,5.55,1
7,1655,479.35,1
13,812,3.42,1
14,1138,5.26,1
15,1116,422.65,1
1,395,84.83,0
0,382,193.0,0
0,545,55.22,0
0,295,271.07,0
3,584,90.01,0
2,158,91.58,0
0,128,100.95,0
1,166,132.36,0
4,1133,563.68,1
0,252,267.59,0
1,210,246.94,0
2,340,89.08,0
0,414,233.59,0
0,415,67.42,0
2,205,168.39,0
7,1492,9.4,1
1,465,85.28,0
10,1412,554.99,1
0,362,296.96,0
0,347,217.72,0
0,380,65.46,0
13,1238,3.97,1
0,449,33.98,0
14,1855,585.79,1
0,281,270.79,0
7,1235,3.09,1
5,1750,6.67,1
1,256,221.19,0
2,301,36.28,0
2,423,30.2,0
11,1441,1.04,1
1,174,101.45,0
12,1155,497.72,1
2,261,231.26,0
2,532,159.27,0
3,365,187.04,0
0,113,161.73,0
2,488,55.3,0
0,105,99.74,0
11,1570,5.92,1
2,552,103.95,0
0,430,130.03,0
0,517,207.19,0
2,540,221.8,0
5,836,1.4,1
0,491,226.98,0
2,578,152.54,0
0,467,188.32,0
9,1002,417.71,1
2,439,149.14,0
1,110,123.24,0
13,1901,449.36,1
8,1857,4.44,1
6,1883,524.11,1
1,297,232.83,0
0,282,130.42,0
3,132,138.14,0
2,128,235.04,0
14,1779,517.36,1
0,166,198.38,0
8,1250,7.71,1
15,1545,8.09,1
8,1207,417.75,1
8,1192,1.7,1
2,263,79.3,0
2,309,143.5,0
2,558,284.49,0
2,285,60.21,0
0,447,95.91,0
0,571,233.06,0
2,544,124.09,0
11,1514,3.77,1
1,261,183.4,0
1,228,78.49,0
2,267,45.16,0
6,1373,4.61,1
3,484,287.48,0
2,248,124.16,0
13,915,445.0,1
3,195,242.32,0
1,521,190.53,0
13,855,433.7,1
3,558,261.38,0
2,579,273.12,0
1,523,300.3,0
1,389,70.56,0
1,340,187.87,0
6,1078,562.49,1
1,147,281.33,0
0,463,203.28,0
6,1010,455.21,1
1,390,34.99,0
0,419,73.19,0
1,541,120.59,0
2,537,34.91,0
0,264,189.22,0
2,161,61.74,0
0,522,279.48,0
8,1595,7.96,1
7,1298,524.5,1
7,1162,453.76,1
12,1652,9.53,1
5,1238,565.03,1
1,175,296.21,0
0,165,40.54,0
1,345,100.46,0
2,308,185.79,0
2,432,114.77,0
3,482,131.68,0
2,340,36.54,0
3,584,280.42,0
1,479,240.39,0
1,115,237.75,0
1,146,284.89,0
2,465,98.77,0
0,426,58.18,0
2,543,36.35,0
